Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
7/11/2016,4190,4285.9,4189.95,4265.15,4272.05,518428,22051.56
7/12/2016,4300,4382,4291,4362,4370.4,688921,29975.37
7/13/2016,4350,4360,4301,4312.9,4321.4,416940,18019.02
7/14/2016,4326,4439,4326,4422.1,4428.3,637580,28046.51
7/15/2016,4450,4493.55,4404.5,4477,4472.05,654076,29145.61
7/18/2016,4477,4564.4,4432.4,4456.25,4454.75,684924,30938.43
7/19/2016,4455.2,4499,4440,4475,4485.7,378788,16932.35
7/20/2016,4471.85,4510,4452.05,4465.75,4469.15,357560,16009.14
7/21/2016,4489,4493.05,4405.25,4415,4413.7,252227,11208.78
7/22/2016,4421,4449,4405,4419.9,4414.7,339886,15039.42
7/25/2016,4427,4565,4421,4552,4550.55,499616,22572.69
7/26/2016,4575.15,4584,4451.15,4470.9,4471.3,1828186,82681.86
7/27/2016,4510.3,4628,4510,4555.1,4558.15,1212744,55462.61
7/28/2016,4579,4784,4570.55,4759,4763.5,1879461,88618.79
7/29/2016,4751,4824,4720.55,4765,4757.6,799265,38094.33
8/1/2016,4798.95,4885,4772.25,4869.05,4866.25,1206974,58481.72
8/2/2016,4900,5039,4880,5000,4986.05,1611134,80248.63
8/3/2016,5014.9,5020,4853.15,4870,4873.85,1019631,50097.76
8/4/2016,4945,4945,4869.35,4890,4889.65,727097,35672.62
8/5/2016,4919,4965,4900,4941.95,4941.65,598288,29531.38
8/8/2016,4980,5010,4960.05,4986.95,4991.75,474502,23687.45
8/9/2016,5009.9,5021.75,4915.4,4957,4960.85,508711,25224.03
8/10/2016,4975,4980,4850,4862.1,4861.6,512317,25074.85
8/11/2016,4862.1,4923.5,4805,4869.1,4878.65,623156,30348.97
8/12/2016,4882,4940,4847.1,4900,4898.6,686072,33536.81
8/16/2016,4948,4948,4852,4858,4864.2,793106,38828.92
8/17/2016,4860,4911.3,4849.1,4890,4889.85,498247,24331.54
8/18/2016,4920.85,4950,4901,4911.55,4915.85,479572,23638.77
8/19/2016,4916,4933.2,4889.05,4901,4900.1,426426,20929.99
8/22/2016,4896,4897,4828,4835,4837.75,292890,14205.54
8/23/2016,4835.05,4855.2,4800,4834,4833.8,270869,13082.25
8/24/2016,4890,4983.8,4886.45,4941.15,4948.55,952400,47158.81
8/25/2016,4973.8,4982.8,4906.25,4932.45,4933.7,914319,45143.38
8/26/2016,4934.8,4964.9,4910.1,4916,4920.9,337715,16655.46
8/29/2016,4925,4955,4920.9,4930,4927.4,299611,14783.32
8/30/2016,4955,5103.9,4951,5060.05,5067.65,996156,50413.19
8/31/2016,5063.9,5103.85,5036.3,5056,5053.65,804288,40800.48
9/1/2016,5074,5100,5019.3,5058,5060.75,870402,44079.63
9/2/2016,5078,5188.65,5075,5165,5160.45,956049,49240.67
9/6/2016,5201,5335,5201,5323.1,5319.7,970024,51208.39
9/7/2016,5319,5362,5290.1,5337,5336.05,734051,39157.33
9/8/2016,5321,5499,5319,5486.55,5489.4,942300,51227.46
9/9/2016,5489.7,5489.95,5377.05,5399.95,5403,547599,29690.29
9/12/2016,5305,5350,5251,5330,5329,795632,42274.53
9/14/2016,5330.05,5384.75,5330.05,5356,5363.9,539702,28928.88
9/15/2016,5356,5461,5349.55,5452,5452.4,704384,38189.07
9/16/2016,5473,5619.9,5473,5540,5573.3,1669960,92972.48
9/19/2016,5569,5569,5485,5497,5491.9,632835,34853.08
9/20/2016,5525,5560,5498.35,5515,5514.85,423083,23379.91
9/21/2016,5526,5542.5,5462.1,5495,5501.25,549370,30239.47
9/22/2016,5565.35,5634.1,5564.95,5587,5597.1,526494,29488.5
9/23/2016,5630,5630,5565.6,5611,5601.8,559592,31356.76
9/26/2016,5586,5625,5555.55,5557.7,5568.9,418297,23347.69
9/27/2016,5598.95,5599.95,5500,5514.9,5511.4,427991,23719
9/28/2016,5510.6,5555,5506,5528.1,5521.8,449876,24861.59
9/29/2016,5575,5577,5395,5460,5438.6,693217,37907.34
9/30/2016,5420,5497.5,5382.6,5490.2,5477.3,646631,35125.59
10/3/2016,5661,5720,5631.8,5680.1,5681,840940,47743
10/4/2016,5715.15,5717.95,5650,5673.85,5680,464913,26400.53
10/5/2016,5707,5767,5673,5689,5689.2,644731,36875.81
10/6/2016,5700,5745.6,5700,5710,5710.45,416860,23835.04
10/7/2016,5709.45,5717.25,5667.3,5683,5683.8,309473,17604.05
10/10/2016,5724.9,5734.4,5695.95,5714.1,5712.35,205840,11758.82
10/13/2016,5690,5752.8,5652.6,5745,5718.55,441169,25122.35
10/14/2016,5760.2,5766.95,5669.1,5686.1,5690.45,352350,20081.76
10/17/2016,5699,5699,5574.6,5600,5599.1,400595,22542.91
10/18/2016,5621,5645.35,5580.1,5620,5626.7,487798,27400.68
10/19/2016,5633.7,5647.9,5593.05,5596.95,5604.6,384608,21593.4
10/20/2016,5615,5683.5,5615,5640,5644.5,311728,17614.95
10/21/2016,5650.5,5670,5616,5645,5650.2,224567,12677.58
10/24/2016,5666,5748,5666,5710,5713.9,412403,23557.8
10/25/2016,5734,5799,5725.65,5798,5781.45,339506,19562.82
10/26/2016,5796.6,5898,5785,5870,5869.1,590811,34552.41
10/27/2016,5897,5948,5789.1,5885,5860.15,1864862,109669.47
10/28/2016,5922,5928.55,5865.75,5875.2,5876.15,935542,55123.49
10/30/2016,5900,5903.75,5880,5900,5896.15,61556,3629.01
11/1/2016,5919,5974,5855.2,5875,5878.1,1163831,68625.38
11/2/2016,5805,5864.9,5785,5797.1,5794.6,522312,30399.05
11/3/2016,5799.9,5859.9,5780,5810.1,5805.55,585730,34100.02
11/4/2016,5789,5789,5667.3,5706,5704.85,679821,38804.26
